,Model,% Available IL13Rα,Prediction Accuracy (MSE),Ligand
0,Multivalent,100.0,0.08763394082962503,hIL4
0,Multivalent,100.0,0.06064471136129539,hIL13
0,Multivalent,100.0,0.0631999854766001,hNeo4
0,Multivalent,98.0,0.08435534893870203,hIL4
0,Multivalent,98.0,0.05835028012276658,hIL13
0,Multivalent,98.0,0.06319981609846899,hNeo4
0,Multivalent,96.0,0.08117270949484322,hIL4
0,Multivalent,96.0,0.05612251318741484,hIL13
0,Multivalent,96.0,0.06319964672140262,hNeo4
0,Multivalent,94.0,0.07808602237422034,hIL4
0,Multivalent,94.0,0.053961410464983116,hIL13
0,Multivalent,94.0,0.06319947734540234,hNeo4
0,Multivalent,92.0,0.07509528745300481,hIL4
0,Multivalent,92.0,0.05186697186521422,hIL13
0,Multivalent,92.0,0.06319930797046792,hNeo4
0,Multivalent,90.0,0.07220050460736929,hIL4
0,Multivalent,90.0,0.04983919729785086,hIL13
0,Multivalent,90.0,0.06319913859659869,hNeo4
0,Multivalent,88.0,0.0694016737134885,hIL4
0,Multivalent,88.0,0.04787808667263705,hIL13
0,Multivalent,88.0,0.0631989692237948,hNeo4
0,Multivalent,86.0,0.06669879464753395,hIL4
0,Multivalent,86.0,0.04598363989931622,hIL13
0,Multivalent,86.0,0.06319879985205698,hNeo4
0,Multivalent,84.0,0.06409186728567617,hIL4
0,Multivalent,84.0,0.04415585688763153,hIL13
0,Multivalent,84.0,0.06319863048138408,hNeo4
0,Multivalent,82.0,0.061580891504095105,hIL4
0,Multivalent,82.0,0.04239473754732644,hIL13
0,Multivalent,82.0,0.06319846111177645,hNeo4
0,Multivalent,80.0,0.05916586717895625,hIL4
0,Multivalent,80.0,0.04070028178814553,hIL13
0,Multivalent,80.0,0.06319829174323593,hNeo4
0,Multivalent,78.0,0.056846794186439106,hIL4
0,Multivalent,78.0,0.03907248951983255,hIL13
0,Multivalent,78.0,0.0631981223757595,hNeo4
0,Multivalent,76.0,0.05462367240271627,hIL4
0,Multivalent,76.0,0.0375113606521321,hIL13
0,Multivalent,76.0,0.06319795300934795,hNeo4
0,Multivalent,74.0,0.05249650170396173,hIL4
0,Multivalent,74.0,0.03601689509478844,hIL13
0,Multivalent,74.0,0.06319778364400307,hNeo4
0,Multivalent,72.0,0.050465281966347815,hIL4
0,Multivalent,72.0,0.03458909275754616,hIL13
0,Multivalent,72.0,0.06319761427972292,hNeo4
0,Multivalent,70.0,0.04853001306605181,hIL4
0,Multivalent,70.0,0.033227953550150215,hIL13
0,Multivalent,70.0,0.0631974449165095,hNeo4
0,Multivalent,68.0,0.046690694879248894,hIL4
0,Multivalent,68.0,0.03193347738234532,hIL13
0,Multivalent,68.0,0.06319727555436061,hNeo4
0,Multivalent,65.99999999999999,0.044947327282110205,hIL4
0,Multivalent,65.99999999999999,0.03070566416387647,hIL13
0,Multivalent,65.99999999999999,0.06319710619327748,hNeo4
0,Multivalent,64.0,0.0432999101508169,hIL4
0,Multivalent,64.0,0.02954451380448936,hIL13
0,Multivalent,64.0,0.06319693683325998,hNeo4
0,Multivalent,62.0,0.04174844336154006,hIL4
0,Multivalent,62.0,0.02845002621392906,hIL13
0,Multivalent,62.0,0.0631967674743075,hNeo4
0,Multivalent,60.0,0.04029292679045715,hIL4
0,Multivalent,60.0,0.0274222013019413,hIL13
0,Multivalent,60.0,0.06319659811642053,hNeo4
0,Multivalent,58.00000000000001,0.03893336031374371,hIL4
0,Multivalent,58.00000000000001,0.026461038978271945,hIL13
0,Multivalent,58.00000000000001,0.06319642875959917,hNeo4
0,Multivalent,56.00000000000001,0.03766974380757603,hIL4
0,Multivalent,56.00000000000001,0.025566539152666698,hIL13
