,Concentration,Cell,Experimental,Ligand,Predicted,Animal
0,-14.2247,Ramos,0.0,hIL4,0.00023110204092291353,Human
1,-13.3216,Ramos,0.0,hIL4,0.0018458738471899031,Human
2,-12.4185,Ramos,0.00421297,hIL4,0.014579016514400795,Human
3,-11.5154,Ramos,0.1441065,hIL4,0.10583736840769298,Human
4,-10.6124,Ramos,0.7450629000000001,hIL4,0.48639005149281456,Human
5,-9.70927,Ramos,1.0326,hIL4,0.8836495827646079,Human
6,-8.80618,Ramos,1.046745,hIL4,0.9841093657946198,Human
7,-7.90309,Ramos,0.922063,hIL4,0.9982853442421429,Human
8,-7.0,Ramos,0.9974775,hIL4,1.0,Human
9,-14.2247,Ramos,0.0,hIL4,0.00023110204092291353,Human
10,-13.3216,Ramos,0.0,hIL4,0.0018458738471899031,Human
11,-12.4185,Ramos,0.00523566,hIL4,0.014579016514400795,Human
12,-11.5154,Ramos,0.1465092,hIL4,0.10583736840769298,Human
13,-10.6124,Ramos,0.7522217000000001,hIL4,0.48639005149281456,Human
14,-9.70927,Ramos,1.0438129999999999,hIL4,0.8836495827646079,Human
15,-8.80618,Ramos,1.101762,hIL4,0.9841093657946198,Human
16,-7.90309,Ramos,0.9844412,hIL4,0.9982853442421429,Human
17,-7.0,Ramos,1.019096,hIL4,1.0,Human
18,-13.6797,Ramos,0.03150859,hIL4,0.0008101254454874206,Human
19,-12.7255,Ramos,0.01470401,hIL4,0.007243492243639501,Human
20,-11.7712,Ramos,0.037237429999999995,hIL4,0.06162950414146583,Human
21,-10.817,Ramos,0.46288989999999997,hIL4,0.3715228170958812,Human
22,-9.86273,Ramos,1.053151,hIL4,0.8420141724076561,Human
23,-8.90849,Ramos,1.0812220000000001,hIL4,0.9798821621225078,Human
24,-7.95424,Ramos,1.010376,hIL4,0.9980298231411475,Human
25,-7.0,Ramos,1.0583069999999999,hIL4,1.0,Human
26,-13.6797,Ramos,0.02598342,hIL4,0.0008101254454874206,Human
27,-12.7255,Ramos,0.004775,hIL4,0.007243492243639501,Human
28,-11.7712,Ramos,0.03181264,hIL4,0.06162950414146583,Human
29,-10.817,Ramos,0.4510201,hIL4,0.3715228170958812,Human
30,-9.86273,Ramos,1.0893810000000002,hIL4,0.8420141724076561,Human
31,-8.90849,Ramos,1.128449,hIL4,0.9798821621225078,Human
32,-7.95424,Ramos,1.058623,hIL4,0.9980298231411475,Human
33,-7.0,Ramos,1.1301860000000001,hIL4,1.0,Human
34,-13.6797,Ramos,0.014945120000000001,hIL4,0.0008101254454874206,Human
35,-12.7255,Ramos,0.00043409000000000004,hIL4,0.007243492243639501,Human
36,-11.7712,Ramos,0.02337888,hIL4,0.06162950414146583,Human
37,-10.817,Ramos,0.44481879999999996,hIL4,0.3715228170958812,Human
38,-9.86273,Ramos,1.0534139999999999,hIL4,0.8420141724076561,Human
39,-8.90849,Ramos,1.075738,hIL4,0.9798821621225078,Human
40,-7.95424,Ramos,1.0026869999999999,hIL4,0.9980298231411475,Human
41,-7.0,Ramos,1.091366,hIL4,1.0,Human
42,-14.67969757,Ramos,0.03850394743,hIL4,8.107208735442842e-05,Human
43,-13.72545506,Ramos,0.0017201076200000001,hIL4,0.0007291760297767864,Human
44,-12.77121255,Ramos,0.0,hIL4,0.006524537604152112,Human
45,-11.81697004,Ramos,0.03047677855,hIL4,0.055808864587132086,Human
46,-10.86272753,Ramos,0.3777620959,hIL4,0.34728334732985777,Human
47,-9.908485019,Ramos,1.0510739649999998,hIL4,0.8274620660254456,Human
48,-8.954242509,Ramos,0.946015084,hIL4,0.9776592013516672,Human
49,-8.0,Ramos,1.002910951,hIL4,0.9977741297352821,Human
50,-14.67969757,Ramos,0.01240457459,hIL4,8.107208735442842e-05,Human
51,-13.72545506,Ramos,0.09027870927000001,hIL4,0.0007291760297767864,Human
52,-12.77121255,Ramos,0.0038665881299999997,hIL4,0.006524537604152112,Human
53,-11.81697004,Ramos,0.02885069604,hIL4,0.055808864587132086,Human
54,-10.86272753,Ramos,0.3464357989,hIL4,0.34728334732985777,Human
55,-9.908485019,Ramos,1.070625011,hIL4,0.8274620660254456,Human
56,-8.954242509,Ramos,0.9727880841,hIL4,0.9776592013516672,Human
57,-8.0,Ramos,0.9615207414,hIL4,0.9977741297352821,Human
58,-14.67969757,Ramos,0.00533624154,hIL4,8.107208735442842e-05,Human
59,-13.72545506,Ramos,0.08565979856,hIL4,0.0007291760297767864,Human
60,-12.77121255,Ramos,0.00176708326,hIL4,0.006524537604152112,Human
61,-11.81697004,Ramos,0.01786328724,hIL4,0.055808864587132086,Human
62,-10.86272753,Ramos,0.36932040190000004,hIL4,0.34728334732985777,Human
63,-9.908485019,Ramos,1.065656183,hIL4,0.8274620660254456,Human
64,-8.954242509,Ramos,0.9808361861,hIL4,0.9776592013516672,Human
65,-8.0,Ramos,0.9485737947,hIL4,0.9977741297352821,Human
0,-14.2247,Ramos,0.0,hNeo4,1.4309379273068448e-05,Human
1,-13.3216,Ramos,0.0,hNeo4,0.00011446749906918427,Human
2,-12.4185,Ramos,0.0,hNeo4,0.0009151104310025118,Human
3,-11.5154,Ramos,0.00232776,hNeo4,0.007279671934586917,Human
4,-10.6124,Ramos,0.07662714,hNeo4,0.05570696384982894,Human
5,-9.70927,Ramos,0.6123836,hNeo4,0.3311119490504842,Human
6,-8.80618,Ramos,1.048193,hNeo4,0.8665844507803193,Human
7,-7.90309,Ramos,1.042433,hNeo4,1.086135989985004,Human
8,-7.0,Ramos,1.057231,hNeo4,1.1215495591373612,Human
9,-14.2247,Ramos,0.0,hNeo4,1.4309379273068448e-05,Human
10,-13.3216,Ramos,0.0,hNeo4,0.00011446749906918427,Human
11,-12.4185,Ramos,0.0,hNeo4,0.0009151104310025118,Human
12,-11.5154,Ramos,0.0,hNeo4,0.007279671934586917,Human
13,-10.6124,Ramos,0.07988621,hNeo4,0.05570696384982894,Human
14,-9.70927,Ramos,0.6227892,hNeo4,0.3311119490504842,Human
15,-8.80618,Ramos,0.9892588999999999,hNeo4,0.8665844507803193,Human
16,-7.90309,Ramos,1.039882,hNeo4,1.086135989985004,Human
17,-7.0,Ramos,0.9872504999999999,hNeo4,1.1215495591373612,Human
18,-13.67969757,Ramos,0.0,hNeo4,5.0189098781999185e-05,Human
19,-12.72545506,Ramos,0.00498390156,hNeo4,0.00045154101206228316,Human
20,-11.77121255,Ramos,0.0,hNeo4,0.004050884294522318,Human
21,-10.81697004,Ramos,0.0275658272,hNeo4,0.03543885495576443,Human
22,-9.862727528,Ramos,0.2882282892,hNeo4,0.25483852544270325,Human
23,-8.908485019,Ramos,0.9678031138000001,hNeo4,0.8164799302850614,Human
24,-7.954242509,Ramos,1.034402152,hNeo4,1.0812456686987362,Human
25,-7.0,Ramos,1.0275217220000001,hNeo4,1.1215495591373612,Human
26,-13.67969757,Ramos,0.0,hNeo4,5.0189098781999185e-05,Human
27,-12.72545506,Ramos,0.09286809861,hNeo4,0.00045154101206228316,Human
28,-11.77121255,Ramos,0.0,hNeo4,0.004050884294522318,Human
29,-10.81697004,Ramos,0.01576378237,hNeo4,0.03543885495576443,Human
30,-9.862727528,Ramos,0.30353591609999997,hNeo4,0.25483852544270325,Human
31,-8.908485019,Ramos,0.9351369635000001,hNeo4,0.8164799302850614,Human
32,-7.954242509,Ramos,1.012888627,hNeo4,1.0812456686987362,Human
33,-7.0,Ramos,1.030244534,hNeo4,1.1215495591373612,Human
34,-13.67969757,Ramos,0.0,hNeo4,5.0189098781999185e-05,Human
35,-12.72545506,Ramos,0.07173308295,hNeo4,0.00045154101206228316,Human
36,-11.77121255,Ramos,0.0,hNeo4,0.004050884294522318,Human
37,-10.81697004,Ramos,0.0034466871599999997,hNeo4,0.03543885495576443,Human
38,-9.862727528,Ramos,0.3071750579,hNeo4,0.25483852544270325,Human
39,-8.908485019,Ramos,0.8816695729,hNeo4,0.8164799302850614,Human
40,-7.954242509,Ramos,1.000851466,hNeo4,1.0812456686987362,Human
41,-7.0,Ramos,1.003580822,hNeo4,1.1215495591373612,Human
0,-13.6797,Ramos,0.02406111,hIL13,2.0914888377760252e-09,Human
1,-12.7255,Ramos,0.0137492,hIL13,1.882155401761806e-08,Human
2,-11.7712,Ramos,0.01814131,hIL13,1.694161564287884e-07,Human
3,-10.817,Ramos,0.0040101799999999995,hIL13,1.5245755152314462e-06,Human
4,-9.86273,Ramos,0.00190961,hIL13,1.3720375099363846e-05,Human
5,-8.90849,Ramos,0.0024825,hIL13,0.00012334730848790847,Human
6,-7.95424,Ramos,0.0,hIL13,0.0010992998457843976,Human
7,-7.0,Ramos,0.0,hIL13,0.00909407498865961,Human
8,-13.6797,Ramos,0.02499121,hIL13,2.0914888377760252e-09,Human
9,-12.7255,Ramos,0.01258863,hIL13,1.882155401761806e-08,Human
10,-11.7712,Ramos,0.004775,hIL13,1.694161564287884e-07,Human
11,-10.817,Ramos,0.0,hIL13,1.5245755152314462e-06,Human
12,-9.86273,Ramos,0.0,hIL13,1.3720375099363846e-05,Human
13,-8.90849,Ramos,0.00948798,hIL13,0.00012334730848790847,Human
14,-7.95424,Ramos,0.00266656,hIL13,0.0010992998457843976,Human
15,-7.0,Ramos,0.00675941,hIL13,0.00909407498865961,Human
16,-13.6797,Ramos,0.0013022700000000001,hIL13,2.0914888377760252e-09,Human
17,-12.7255,Ramos,0.0,hIL13,1.882155401761806e-08,Human
18,-11.7712,Ramos,0.0,hIL13,1.694161564287884e-07,Human
19,-10.817,Ramos,0.0,hIL13,1.5245755152314462e-06,Human
20,-9.86273,Ramos,0.0,hIL13,1.3720375099363846e-05,Human
21,-8.90849,Ramos,0.0,hIL13,0.00012334730848790847,Human
22,-7.95424,Ramos,0.0,hIL13,0.0010992998457843976,Human
23,-7.0,Ramos,0.00502305,hIL13,0.00909407498865961,Human
24,-13.67969757,Ramos,0.0,hIL13,2.091500540277899e-09,Human
25,-12.72545506,Ramos,0.00471926962,hIL13,1.8823501738066172e-08,Human
26,-11.77121255,Ramos,0.00269042473,hIL13,1.694112608141065e-07,Human
27,-10.81697004,Ramos,0.01354033432,hIL13,1.5246806907830939e-06,Human
28,-9.862727528,Ramos,0.00736558903,hIL13,1.3720453185116359e-05,Human
29,-8.908485019,Ramos,0.01151148944,hIL13,0.00012334872144348979,Human
30,-7.954242509,Ramos,0.0033078992600000003,hIL13,0.0010992935647395898,Human
31,-7.0,Ramos,0.022008556430000003,hIL13,0.00909407498865961,Human
32,-13.67969757,Ramos,0.0,hIL13,2.091500540277899e-09,Human
33,-12.72545506,Ramos,0.08908898985000001,hIL13,1.8823501738066172e-08,Human
34,-11.77121255,Ramos,0.0012072152999999999,hIL13,1.694112608141065e-07,Human
35,-10.81697004,Ramos,0.0,hIL13,1.5246806907830939e-06,Human
36,-9.862727528,Ramos,0.0024669182200000002,hIL13,1.3720453185116359e-05,Human
37,-8.908485019,Ramos,0.0091153503,hIL13,0.00012334872144348979,Human
38,-7.954242509,Ramos,0.00526625804,hIL13,0.0010992935647395898,Human
39,-7.0,Ramos,0.00400655512,hIL13,0.00909407498865961,Human
40,-13.67969757,Ramos,0.00162711627,hIL13,2.091500540277899e-09,Human
41,-12.72545506,Ramos,0.08579976556,hIL13,1.8823501738066172e-08,Human
42,-11.77121255,Ramos,0.0,hIL13,1.694112608141065e-07,Human
43,-10.81697004,Ramos,0.0,hIL13,1.5246806907830939e-06,Human
