,Model,% Available IL13Rα,Prediction Accuracy (MSE),Ligand
0,Multivalent,100.0,0.0888123325279627,hIL4
0,Multivalent,100.0,0.0603898959294715,hIL13
0,Multivalent,100.0,0.06458003240184257,hNeo4
0,Multivalent,98.0,0.08547863941582909,hIL4
0,Multivalent,98.0,0.058077592924522234,hIL13
0,Multivalent,98.0,0.06457985598535827,hNeo4
0,Multivalent,96.0,0.08224219374793243,hIL4
0,Multivalent,96.0,0.05583287641054492,hIL13
0,Multivalent,96.0,0.06457967956997945,hNeo4
0,Multivalent,94.0,0.07910299539994935,hIL4
0,Multivalent,94.0,0.05365574629677026,hIL13
0,Multivalent,94.0,0.06457950315570295,hNeo4
0,Multivalent,92.0,0.07606104424755905,hIL4
0,Multivalent,92.0,0.051546202492429354,hIL13
0,Multivalent,92.0,0.06457932674253095,hNeo4
0,Multivalent,90.0,0.07311634016643731,hIL4
0,Multivalent,90.0,0.049504244906753196,hIL13
0,Multivalent,90.0,0.06457915033046259,hNeo4
0,Multivalent,88.0,0.070268883032264,hIL4
0,Multivalent,88.0,0.04752987344897291,hIL13
0,Multivalent,88.0,0.06457897391949767,hNeo4
0,Multivalent,86.0,0.06751867272071643,hIL4
0,Multivalent,86.0,0.04562308802832028,hIL13
0,Multivalent,86.0,0.06457879750963838,hNeo4
0,Multivalent,84.0,0.06486570910747443,hIL4
0,Multivalent,84.0,0.04378388855402659,hIL13
0,Multivalent,84.0,0.06457862110088217,hNeo4
0,Multivalent,82.0,0.06230999206821572,hIL4
0,Multivalent,82.0,0.04201227493532401,hIL13
0,Multivalent,82.0,0.06457844469323056,hNeo4
0,Multivalent,80.0,0.05985152147861942,hIL4
0,Multivalent,80.0,0.040308247081444114,hIL13
0,Multivalent,80.0,0.06457826828668216,hNeo4
0,Multivalent,78.0,0.05749029721436609,hIL4
0,Multivalent,78.0,0.038671804901618714,hIL13
0,Multivalent,78.0,0.06457809188123806,hNeo4
0,Multivalent,76.0,0.05522631915113177,hIL4
0,Multivalent,76.0,0.037102948305080596,hIL13
0,Multivalent,76.0,0.06457791547689744,hNeo4
0,Multivalent,74.0,0.053059587164598375,hIL4
0,Multivalent,74.0,0.03560167720106267,hIL13
0,Multivalent,74.0,0.06457773907366145,hNeo4
0,Multivalent,72.0,0.050990101130446545,hIL4
0,Multivalent,72.0,0.03416799149879633,hIL13
0,Multivalent,72.0,0.06457756267152905,hNeo4
