,Cell,Animal,Predicted,Ligand,Concentration
0,Ramos,Human,1.9129111351623915e-05,hIL4,-14.67969757
1,Ramos,Human,2.029452174058795e-05,hIL4,-14.654012962742476
2,Ramos,Human,2.153093113030389e-05,hIL4,-14.62832835548495
3,Ramos,Human,2.284266469348577e-05,hIL4,-14.602643748227425
4,Ramos,Human,2.4234311059429115e-05,hIL4,-14.5769591409699
5,Ramos,Human,2.571073835830364e-05,hIL4,-14.551274533712375
6,Ramos,Human,2.7277111242095728e-05,hIL4,-14.525589926454849
7,Ramos,Human,2.8938908941593192e-05,hIL4,-14.499905319197325
8,Ramos,Human,3.0701944422416705e-05,hIL4,-14.4742207119398
9,Ramos,Human,3.257238470691951e-05,hIL4,-14.448536104682274
10,Ramos,Human,3.455677243283517e-05,hIL4,-14.42285149742475
11,Ramos,Human,3.666204872385263e-05,hIL4,-14.397166890167224
12,Ramos,Human,3.889557745185211e-05,hIL4,-14.3714822829097
13,Ramos,Human,4.126517097537656e-05,hIL4,-14.345797675652173
14,Ramos,Human,4.3779117444029994e-05,hIL4,-14.32011306839465
15,Ramos,Human,4.644620976393761e-05,hIL4,-14.294428461137123
16,Ramos,Human,4.927577632515383e-05,hIL4,-14.268743853879599
17,Ramos,Human,5.227771359802351e-05,hIL4,-14.243059246622074
18,Ramos,Human,5.546252071196638e-05,hIL4,-14.217374639364548
19,Ramos,Human,5.884133613702608e-05,hIL4,-14.191690032107024
20,Ramos,Human,6.242597659580187e-05,hIL4,-14.166005424849498
21,Ramos,Human,6.622897834108645e-05,hIL4,-14.140320817591974
22,Ramos,Human,7.026364094272084e-05,hIL4,-14.114636210334448
23,Ramos,Human,7.454407373582654e-05,hIL4,-14.088951603076923
24,Ramos,Human,7.908524509177429e-05,hIL4,-14.063266995819397
25,Ramos,Human,8.390303468296174e-05,hIL4,-14.037582388561873
26,Ramos,Human,8.9014288922801e-05,hIL4,-14.011897781304349
27,Ramos,Human,9.443687977322735e-05,hIL4,-13.986213174046823
28,Ramos,Human,0.00010018976712362295,hIL4,-13.960528566789298
29,Ramos,Human,0.00010629306495731656,hIL4,-13.934843959531772
30,Ramos,Human,0.00011276811153479293,hIL4,-13.909159352274248
31,Ramos,Human,0.00011963754383652819,hIL4,-13.883474745016722
32,Ramos,Human,0.00012692537652291236,hIL4,-13.857790137759197
33,Ramos,Human,0.00013465708568417768,hIL4,-13.832105530501673
34,Ramos,Human,0.00014285969766956503,hIL4,-13.806420923244147
35,Ramos,Human,0.00015156188330227508,hIL4,-13.780736315986623
36,Ramos,Human,0.00016079405780506344,hIL4,-13.755051708729097
37,Ramos,Human,0.00017058848678069892,hIL4,-13.729367101471572
38,Ramos,Human,0.0001809793986120505,hIL4,-13.703682494214046
39,Ramos,Human,0.0001920031036682298,hIL4,-13.677997886956522
40,Ramos,Human,0.00020369812072621612,hIL4,-13.652313279698998
41,Ramos,Human,0.0002161053110416433,hIL4,-13.626628672441472
42,Ramos,Human,0.00022926802052812824,hIL4,-13.600944065183947
43,Ramos,Human,0.00024323223053168328,hIL4,-13.575259457926421
