,Ligand,Concentration,Animal,Cell,Predicted
0,hIL4,-14.67969757,Human,Ramos,1.9129044570216213e-05
1,hIL4,-14.654012962742476,Human,Ramos,2.0294450890726403e-05
2,hIL4,-14.62832835548495,Human,Ramos,2.1530855964142673e-05
3,hIL4,-14.602643748227425,Human,Ramos,2.2842584948082118e-05
4,hIL4,-14.5769591409699,Human,Ramos,2.4234226455823916e-05
5,hIL4,-14.551274533712375,Human,Ramos,2.5710648600546067e-05
6,hIL4,-14.525589926454849,Human,Ramos,2.72770160162085e-05
7,hIL4,-14.499905319197325,Human,Ramos,2.8938807914474843e-05
8,hIL4,-14.4742207119398,Human,Ramos,3.070183724067705e-05
9,hIL4,-14.448536104682274,Human,Ramos,3.2572270995644286e-05
10,hIL4,-14.42285149742475,Human,Ramos,3.45566517942754e-05
11,hIL4,-14.397166890167224,Human,Ramos,3.666192073603432e-05
12,hIL4,-14.3714822829097,Human,Ramos,3.8895441667101295e-05
13,hIL4,-14.345797675652173,Human,Ramos,4.126502691875466e-05
14,hIL4,-14.32011306839465,Human,Ramos,4.377896461167395e-05
15,hIL4,-14.294428461137123,Human,Ramos,4.644604762129901e-05
16,hIL4,-14.268743853879599,Human,Ramos,4.927560430513105e-05
17,hIL4,-14.243059246622074,Human,Ramos,5.227753109898009e-05
18,hIL4,-14.217374639364548,Human,Ramos,5.546232709562908e-05
19,hIL4,-14.191690032107024,Human,Ramos,5.884113072625486e-05
20,hIL4,-14.166005424849498,Human,Ramos,6.242575867222464e-05
21,hIL4,-14.140320817591974,Human,Ramos,6.622874714258969e-05
22,hIL4,-14.114636210334448,Human,Ramos,7.026339566078787e-05
23,hIL4,-14.088951603076923,Human,Ramos,7.454381351271402e-05
24,hIL4,-14.063266995819397,Human,Ramos,7.908496901751712e-05
25,hIL4,-14.037582388561873,Human,Ramos,8.390274179219594e-05
26,hIL4,-14.011897781304349,Human,Ramos,8.901397819139373e-05
27,hIL4,-13.986213174046823,Human,Ramos,9.443655011470202e-05
28,hIL4,-13.960528566789298,Human,Ramos,0.00010018941738536756
29,hIL4,-13.934843959531772,Human,Ramos,0.00010629269391656157
30,hIL4,-13.909159352274248,Human,Ramos,0.0001127677178943451
31,hIL4,-13.883474745016722,Human,Ramos,0.00011963712622024562
32,hIL4,-13.857790137759197,Human,Ramos,0.00012692493347090487
33,hIL4,-13.832105530501673,Human,Ramos,0.00013465661564771605
34,hIL4,-13.806420923244147,Human,Ramos,0.00014285919900568176
35,hIL4,-13.780736315986623,Human,Ramos,0.00015156135426803755
36,hIL4,-13.755051708729097,Human,Ramos,0.00016079349655150028
37,hIL4,-13.729367101471572,Human,Ramos,0.0001705878913463583
38,hIL4,-13.703682494214046,Human,Ramos,0.00018097876691616834
39,hIL4,-13.677997886956522,Human,Ramos,0.00019200243350348437
40,hIL4,-13.652313279698998,Human,Ramos,0.00020369740975104416
41,hIL4,-13.626628672441472,Human,Ramos,0.00021610455677209157
42,hIL4,-13.600944065183947,Human,Ramos,0.0002292672203292119
43,hIL4,-13.575259457926421,Human,Ramos,0.00024323138160822248
44,hIL4,-13.549574850668897,Human,Ramos,0.0002580458171023296
45,hIL4,-13.52389024341137,Human,Ramos,0.0002737622681521544
46,hIL4,-13.498205636153846,Human,Ramos,0.00029043562071922295
47,hIL4,-13.47252102889632,Human,Ramos,0.0003081240960044401
48,hIL4,-13.446836421638796,Human,Ramos,0.0003268894525587525
49,hIL4,-13.421151814381272,Human,Ramos,0.00034679720057102743
50,hIL4,-13.395467207123746,Human,Ramos,0.0003679168290579409
51,hIL4,-13.369782599866221,Human,Ramos,0.0003903220467227387
52,hIL4,-13.344097992608695,Human,Ramos,0.00041409103729406064
53,hIL4,-13.318413385351171,Human,Ramos,0.0004393067302026863
54,hIL4,-13.292728778093645,Human,Ramos,0.0004660570875033803
55,hIL4,-13.26704417083612,Human,Ramos,0.0004944354080007752
56,hIL4,-13.241359563578595,Human,Ramos,0.0005245406495929201
57,hIL4,-13.21567495632107,Human,Ramos,0.0005564777709034574
58,hIL4,-13.189990349063546,Human,Ramos,0.0005903580933339067
59,hIL4,-13.16430574180602,Human,Ramos,0.0006262996847309156
60,hIL4,-13.138621134548496,Human,Ramos,0.0006644277659300653
61,hIL4,-13.11293652729097,Human,Ramos,0.0007048751415078238
62,hIL4,-13.087251920033445,Human,Ramos,0.0007477826561465134
63,hIL4,-13.06156731277592,Human,Ramos,0.0007932996780942248
64,hIL4,-13.035882705518395,Human,Ramos,0.0008415846112819572
65,hIL4,-13.010198098260869,Human,Ramos,0.0008928054377445753
66,hIL4,-12.984513491003344,Human,Ramos,0.0009471402920801438
67,hIL4,-12.95882888374582,Human,Ramos,0.0010047780697739974
68,hIL4,-12.933144276488294,Human,Ramos,0.0010659190713096108
69,hIL4,-12.90745966923077,Human,Ramos,0.0011307756840879966
70,hIL4,-12.881775061973244,Human,Ramos,0.0011995731042809342
71,hIL4,-12.85609045471572,Human,Ramos,0.0012725501008506643
72,hIL4,-12.830405847458195,Human,Ramos,0.00134995982408019
73,hIL4,-12.804721240200669,Human,Ramos,0.0014320706610731766
74,hIL4,-12.779036632943145,Human,Ramos,0.0015191671408012598
75,hIL4,-12.753352025685619,Human,Ramos,0.001611550891398723
76,hIL4,-12.727667418428094,Human,Ramos,0.0017095416525295998
77,hIL4,-12.701982811170568,Human,Ramos,0.001813478345780788
78,hIL4,-12.676298203913044,Human,Ramos,0.0019237202061650415
79,hIL4,-12.650613596655518,Human,Ramos,0.0020406479779507994
80,hIL4,-12.624928989397993,Human,Ramos,0.0021646651781694805
81,hIL4,-12.59924438214047,Human,Ramos,0.0022961994312861674
82,hIL4,-12.573559774882943,Human,Ramos,0.002435703878653894
83,hIL4,-12.547875167625419,Human,Ramos,0.0025836586665056874
84,hIL4,-12.522190560367893,Human,Ramos,0.0027405725163699643
85,hIL4,-12.496505953110368,Human,Ramos,0.002906984381922407
86,hIL4,-12.470821345852844,Human,Ramos,0.0030834651964108005
87,hIL4,-12.445136738595318,Human,Ramos,0.0032706197149045897
88,hIL4,-12.419452131337792,Human,Ramos,0.0034690884557283014
89,hIL4,-12.393767524080268,Human,Ramos,0.003679549745533559
90,hIL4,-12.368082916822743,Human,Ramos,0.003902721872546098
91,hIL4,-12.342398309565217,Human,Ramos,0.004139365352588869
92,hIL4,-12.316713702307693,Human,Ramos,0.004390285312526706
93,hIL4,-12.291029095050167,Human,Ramos,0.004656333995798163
94,hIL4,-12.265344487792643,Human,Ramos,0.004938413394690634
95,hIL4,-12.239659880535118,Human,Ramos,0.005237478013973327
96,hIL4,-12.213975273277592,Human,Ramos,0.005554537770419952
97,hIL4,-12.188290666020066,Human,Ramos,0.005890661032626387
98,hIL4,-12.162606058762542,Human,Ramos,0.0062469778053489385
99,hIL4,-12.136921451505017,Human,Ramos,0.006624683062349096
100,hIL4,-12.111236844247491,Human,Ramos,0.007025040231422486
101,hIL4,-12.085552236989967,Human,Ramos,0.007449384834903746
102,hIL4,-12.059867629732441,Human,Ramos,0.007899128288464946
103,hIL4,-12.034183022474917,Human,Ramos,0.008375761860449794
104,hIL4,-12.008498415217392,Human,Ramos,0.008880860793301136
105,hIL4,-11.982813807959866,Human,Ramos,0.00941608858782525
106,hIL4,-11.95712920070234,Human,Ramos,0.009983201450084548
107,hIL4,-11.931444593444816,Human,Ramos,0.010584052899600627
108,hIL4,-11.905759986187292,Human,Ramos,0.011220598536265766
109,hIL4,-11.880075378929766,Human,Ramos,0.011894900961885151
110,hIL4,-11.854390771672241,Human,Ramos,0.012609134850584361
111,hIL4,-11.828706164414715,Human,Ramos,0.013365592160396586
112,hIL4,-11.80302155715719,Human,Ramos,0.014166687476166263
113,hIL4,-11.777336949899667,Human,Ramos,0.0150149634714556
114,hIL4,-11.75165234264214,Human,Ramos,0.015913096474382996
115,hIL4,-11.725967735384616,Human,Ramos,0.016863902119244007
116,hIL4,-11.70028312812709,Human,Ramos,0.017870341062336446
117,hIL4,-11.674598520869566,Human,Ramos,0.01893552473660517
