,Cell,Animal,Receptor,MSE,$R^2$
0,Monocyte,Human,IL4Ra,0.03245511737134529,0.8245828749407687
0,Monocyte,Human,Gamma,0.027903492788691184,0.8491840153249673
0,Monocyte,Human,IL13Ra,0.027765613644318565,0.8499292402716139
0,Macrophage,Human,Gamma,0.031100457662562312,0.8319046944501349
0,Macrophage,Human,IL13Ra,0.029260364127923964,0.8418502421427563
0,Macrophage,Mouse,IL4Ra,0.036629135346888296,0.8020226658730375
0,Macrophage,Mouse,Gamma,0.0343797052231965,0.8141806427124012
0,Macrophage,Mouse,IL13Ra,0.034328069942592083,0.8144597269742639
0,Fibroblast,Human,IL4Ra,0.036941122789498626,0.8003364005112118
0,Fibroblast,Human,Gamma,0.03605859397268309,0.805106393053725
0,Fibroblast,Human,IL13Ra,0.035960544458661044,0.805636342265321
0,Ramos,Human,IL4Ra,0.03664693528545266,0.8019264587321584
0,Ramos,Human,Gamma,0.03664697765818579,0.801926229711171
0,A549,Human,IL4Ra,0.03664699263632052,0.8019261487556377
0,A549,Human,Gamma,0.03664699502810713,0.8019261358282364
0,A549,Human,IL13Ra,0.03664701138994865,0.8019260473938866
0,3T3,Mouse,IL4Ra,0.036647012444293435,0.8019260416952435
0,3T3,Mouse,Gamma,0.03453910112335839,0.8133191215466415
0,3T3,Mouse,IL13Ra,0.03472008814587932,0.8123409022168393
0,A20,Mouse,IL4Ra,0.03686320729623583,0.800757527067907
0,A20,Mouse,Gamma,0.03500872867697628,0.8107808249088058
0,A20,Mouse,IL13Ra,0.035060062017277224,0.8105033726083797
